,countryName,numCases,numDeaths,numRecovered
0,Afghanistan,3392,104,458
1,Albania,832,31,595
2,Algeria,4997,476,2197
3,Andorra,751,46,521
4,Angola,36,2,11
5,Antigua and Barbuda,25,3,16
6,Argentina,5208,273,1524
7,Armenia,2782,40,1135
8,Australia,6894,97,6031
9,Austria,15684,608,13639
10,Azerbaijan,2127,28,1536
11,Bahamas,92,11,26
12,Bahrain,3934,8,1860
13,Bangladesh,11719,186,1403
14,Barbados,82,7,47
15,Belarus,19255,112,4388
16,Belgium,50781,8339,12731
17,Belize,18,2,16
18,Benin,96,2,50
19,Bhutan,7,0,5
20,Bolivia,1886,91,198
21,Bosnia and Herzegovina,1987,86,928
22,Botswana,23,1,8
23,Brazil,126611,8588,51370
24,Brunei,139,1,131
25,Bulgaria,1778,84,360
26,Burkina Faso,729,48,555
27,Burma,161,6,50
28,Burundi,15,1,7
29,Cabo Verde,191,2,38
30,Cambodia,122,0,120
31,Cameroon,2265,108,1000
32,Canada,64694,4366,28184
33,Central African Republic,94,0,10
34,Chad,170,17,43
35,Chile,23048,281,11189
36,China,83970,4637,78929
37,Colombia,8959,397,2148
38,Congo (Brazzaville),264,10,30
39,Congo (Kinshasa),797,35,92
40,Costa Rica,761,6,428
41,Cote d'Ivoire,1516,18,721
42,Croatia,2119,85,1601
43,Cuba,1703,69,1001
44,Cyprus,883,15,296
45,Czechia,7974,262,4205
46,Denmark,10136,506,7689
47,Diamond Princess,712,13,645
48,Djibouti,1124,3,755
49,Dominica,16,0,14
50,Dominican Republic,8807,362,1960
51,Ecuador,31881,1618,3433
52,Egypt,7588,469,1815
53,El Salvador,633,15,219
54,Equatorial Guinea,439,4,13
55,Eritrea,39,0,30
56,Estonia,1713,55,264
57,Eswatini,123,2,12
58,Ethiopia,162,4,93
59,Fiji,18,0,14
60,Finland,5573,252,3500
61,France,174224,25812,54079
62,Gabon,397,6,93
63,Gambia,17,1,9
64,Georgia,610,9,269
65,Germany,168162,7275,139900
66,Ghana,3091,18,294
67,Greece,2663,147,1374
68,Grenada,21,0,13
69,Guatemala,798,21,86
70,Guinea,1856,11,597
71,Guinea-Bissau,475,2,24
72,Guyana,93,10,27
73,Haiti,101,12,10
74,Holy See,12,0,2
75,Honduras,1461,99,132
76,Hungary,3111,373,759
77,Iceland,1799,10,1750
78,India,52987,1785,15331
79,Indonesia,12438,895,2317
80,Iran,101650,6418,81587
81,Iraq,2480,102,1602
82,Ireland,22248,1375,17110
83,Israel,16310,239,10637
84,Italy,214457,29684,93245
85,Jamaica,478,9,57
86,Japan,15253,556,4496
87,Jordan,473,9,377
88,Kazakhstan,4422,30,1408
89,Kenya,582,26,190
90,"Korea, South",10810,256,9419
91,Kosovo,856,26,490
92,Kuwait,6289,42,2219
93,Kyrgyzstan,871,12,614
94,Laos,19,0,10
95,Latvia,900,17,464
96,Lebanon,750,25,206
97,Liberia,178,20,75
98,Libya,64,3,24
99,Liechtenstein,82,1,55
100,Lithuania,1428,48,718
101,Luxembourg,3851,98,3452
102,MS Zaandam,9,2,0
103,Madagascar,158,0,101
104,Malawi,43,3,9
105,Malaysia,6428,107,4702
106,Maldives,617,2,20
107,Mali,631,32,261
108,Malta,484,5,407
109,Mauritania,8,1,6
110,Mauritius,332,10,320
111,Mexico,27634,2704,17781
112,Moldova,4476,143,1658
113,Monaco,95,4,82
114,Mongolia,41,0,13
115,Montenegro,324,8,261
116,Morocco,5408,183,2017
117,Mozambique,81,0,21
118,Namibia,16,0,8
119,Nepal,99,0,22
120,Netherlands,41518,5221,146
121,New Zealand,1489,21,1332
122,Nicaragua,16,5,7
123,Niger,770,38,561
124,Nigeria,3145,103,534
125,North Macedonia,1539,88,1057
126,Norway,7996,216,32
127,Oman,2903,13,888
128,Pakistan,24073,564,6464
129,Panama,7731,218,859
130,Papua New Guinea,8,0,8
131,Paraguay,440,10,142
132,Peru,54817,1533,17527
133,Philippines,10004,658,1506
134,Poland,14740,733,4655
135,Portugal,26182,1089,2076
136,Qatar,17972,12,2070
137,Romania,14107,864,5788
138,Russia,165929,1537,21327
139,Rwanda,268,0,130
140,Saint Kitts and Nevis,15,0,12
141,Saint Lucia,18,0,15
142,Saint Vincent and the Grenadines,17,0,9
143,San Marino,608,41,97
144,Sao Tome and Principe,174,3,4
145,Saudi Arabia,31938,209,6783
146,Senegal,1433,12,493
147,Serbia,9791,203,1971
148,Seychelles,11,0,8
149,Sierra Leone,225,14,54
150,Singapore,20198,20,1634
151,Slovakia,1429,25,762
152,Slovenia,1448,99,246
153,Somalia,873,39,87
154,South Africa,7808,153,3153
155,South Sudan,58,0,0
156,Spain,220325,25857,126002
157,Sri Lanka,797,9,215
158,Sudan,852,49,80
159,Suriname,10,1,9
160,Sweden,23918,2941,4074
161,Switzerland,30060,1805,25700
162,Syria,45,3,27
163,Taiwan*,439,6,339
164,Tanzania,480,16,167
165,Thailand,2989,55,2761
166,Timor-Leste,24,0,20
167,Togo,128,9,77
168,Trinidad and Tobago,116,8,103
169,Tunisia,1025,43,591
170,Turkey,131744,3584,78202
171,US,1228603,73431,189910
172,Uganda,100,0,55
173,Ukraine,13184,327,2097
174,United Arab Emirates,15738,157,3359
175,United Kingdom,202359,30150,934
176,Uruguay,673,17,486
177,Uzbekistan,2233,10,1577
178,Venezuela,379,10,176
179,Vietnam,271,0,232
180,West Bank and Gaza,374,2,174
181,Western Sahara,6,0,5
182,Yemen,25,5,1
183,Zambia,146,4,101
184,Zimbabwe,34,4,5
