,countryName,numDoctors,numHospitalBeds
0,Cuba,8.19,5.2
1,Monaco,6.56,13.8
2,San Marino,6.15,3.8
3,Sweden,5.4,2.6
4,Austria,5.14,7.6
5,Georgia,5.1,2.6
6,Uruguay,5.05,2.8
7,Norway,4.63,3.9
8,Greece,4.59,4.3
9,Denmark,4.46,2.5
10,Lithuania,4.34,7.3
11,Czech Republic,4.31,6.5
12,Switzerland,4.24,4.7
13,Germany,4.21,8.3
14,Italy,4.09,3.4
15,Belarus,4.08,11.0
16,Spain,4.07,3.0
17,Russia,4.01,8.2
18,Bulgaria,3.99,6.8
19,Iceland,3.97,3.2
20,Argentina,3.96,5.0
21,Malta,3.83,4.7
22,Finland,3.81,4.4
23,Dem. People's Rep. Korea,3.67,13.2
24,Australia,3.59,3.8
25,Netherlands,3.51,4.7
26,Estonia,3.47,5.0
27,Azerbaijan,3.45,4.7
28,Portugal,3.34,3.4
29,Andorra,3.33,2.5
30,Belgium,3.32,6.2
31,Kazakhstan,3.25,6.7
32,France,3.23,6.5
33,Hungary,3.23,7.0
34,Israel,3.22,3.1
35,Moldova,3.2,5.8
36,Latvia,3.19,5.8
37,Serbia,3.13,5.7
38,Ireland,3.09,2.8
39,Luxembourg,3.03,4.8
40,New Zealand,3.03,2.8
41,Ukraine,3.01,8.8
42,Croatia,3.0,5.6
43,Slovenia,3.0,4.6
44,Armenia,2.9,4.2
45,Mongolia,2.89,7.0
46,North Macedonia,2.87,4.4
47,United Kingdom,2.81,2.8
48,Antigua and Barbuda,2.76,3.8
49,Trinidad and Tobago,2.67,3.0
50,Canada,2.61,2.7
51,United States,2.59,2.9
52,Kuwait,2.58,2.0
53,St. Kitts and Nevis,2.52,2.3
54,Barbados,2.49,5.8
55,Slovak Republic,2.46,5.8
56,Japan,2.41,13.4
57,Poland,2.4,6.5
58,United Arab Emirates,2.39,1.2
59,Saudi Arabia,2.39,2.7
60,Uzbekistan,2.37,4.0
61,Korea,2.37,11.5
62,Jordan,2.34,1.4
63,Montenegro,2.33,4.0
64,Singapore,2.31,2.4
65,Lebanon,2.27,2.9
66,Romania,2.26,6.3
67,Mexico,2.25,1.5
68,Turkmenistan,2.22,7.4
69,Libya,2.16,3.7
70,Brazil,2.15,2.2
71,Colombia,2.08,1.5
72,Ecuador,2.05,1.5
73,Mauritius,2.02,3.4
74,Bosnia and Herzegovina,2.0,3.5
75,Oman,1.97,1.6
76,Cyprus,1.95,3.4
77,Cayman Islands,1.94,3.0
78,The Bahamas,1.94,2.9
79,Venezuela,1.92,0.8
80,Kyrgyz Republic,1.88,4.5
81,Algeria,1.83,1.9
82,China,1.79,4.2
83,Brunei,1.77,2.7
84,Turkey,1.76,2.7
85,Puerto Rico,1.75,3.32
86,Tajikistan,1.7,4.8
87,Bolivia,1.61,1.1
88,Panama,1.57,2.3
89,El Salvador,1.57,1.3
90,"Macao SAR, China",1.56,5.3
91,Dominican Republic,1.56,1.6
92,Malaysia,1.51,1.9
93,Grenada,1.45,3.7
94,Paraguay,1.37,1.3
95,Jamaica,1.32,1.7
96,"Hong Kong SAR, China",1.32,4.89
97,Philippines,1.28,1.0
98,Tunisia,1.27,2.3
99,Peru,1.27,1.6
100,Nauru,1.24,5.0
101,Suriname,1.23,3.1
102,Syrian Arab Republic,1.22,1.5
103,Albania,1.2,2.9
104,Palau,1.18,4.8
105,Costa Rica,1.15,1.2
106,Iran,1.14,1.5
107,Greenland,1.14,14.35
108,Belize,1.13,1.3
109,Dominica,1.08,3.8
110,Chile,1.08,2.2
111,Nicaragua,1.01,0.9
112,Pakistan,0.98,0.6
113,Sri Lanka,0.96,3.6
114,Seychelles,0.95,3.6
115,Bahrain,0.93,2.0
116,Tuvalu,0.92,5.6
117,South Africa,0.91,2.8
118,Myanmar,0.86,0.9
119,Fiji,0.84,2.3
120,Iraq,0.82,1.4
121,Vietnam,0.82,2.6
122,Thailand,0.81,2.1
123,Guyana,0.8,1.6
124,Egypt,0.79,1.6
125,India,0.78,0.7
126,Cabo Verde,0.77,2.1
127,Morocco,0.73,1.1
128,Timor-Leste,0.72,5.9
129,St. Vincent and the Grenadines,0.66,2.6
130,Nepal,0.65,0.3
131,Bangladesh,0.53,0.8
132,Tonga,0.52,2.6
133,Lao PDR,0.5,1.5
134,Sudan,0.41,0.8
135,Equatorial Guinea,0.4,2.1
136,Nigeria,0.38,0.5
137,Indonesia,0.38,1.2
138,Namibia,0.37,2.7
139,Bhutan,0.37,1.7
140,Botswana,0.37,1.8
141,Gabon,0.36,6.3
142,Guatemala,0.36,0.6
143,Samoa,0.34,1.0
144,São Tomé and Principe,0.32,2.9
145,Honduras,0.31,0.7
146,Yemen,0.31,0.7
147,Afghanistan,0.28,0.5
148,Haiti,0.23,0.7
149,Côte d'Ivoire,0.23,0.4
150,Djibouti,0.22,1.4
151,Angola,0.21,0.8
152,Kiribati,0.2,1.9
153,Guinea-Bissau,0.2,1.0
154,Solomon Islands,0.2,1.4
155,Kenya,0.2,1.4
156,Madagascar,0.18,0.2
157,Ghana,0.18,0.9
158,Mauritania,0.18,0.4
159,Vanuatu,0.17,1.7
160,Comoros,0.17,2.2
161,Cambodia,0.17,0.8
162,Benin,0.16,0.5
163,Mali,0.14,0.1
164,Rwanda,0.13,1.6
165,Congo,0.12,1.6
166,The Gambia,0.11,1.1
167,St. Lucia,0.11,1.3
168,Ethiopia,0.1,0.3
169,Zambia,0.09,2.0
170,Uganda,0.09,0.5
171,Dem. Rep. Congo,0.09,0.8
172,Cameroon,0.09,1.3
173,Eswatini,0.08,2.1
174,Guinea,0.08,0.3
175,Zimbabwe,0.08,1.7
176,Mozambique,0.07,0.7
177,Senegal,0.07,0.3
178,Lesotho,0.07,1.3
179,Central African Republic,0.06,1.0
180,Burkina Faso,0.06,0.4
181,Eritrea,0.06,0.7
182,Papua New Guinea,0.05,4.02
183,Burundi,0.05,0.8
184,Niger,0.05,0.3
185,Togo,0.05,0.7
186,Chad,0.05,0.4
187,Tanzania,0.04,0.7
188,Liberia,0.04,0.8
189,Sierra Leone,0.03,0.4
190,Somalia,0.02,0.9
191,Malawi,0.02,1.3
192,Qatar,0.0,1.2
